scenario_id,divergence_span,last_writer_wins,naive_concat,branch_discard_always_b,branch_discard_fewer_updates,three_way_llm
synth_2028_0003,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0004,20.0,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.2857142857142857,1.0
synth_2028_0005,20.0,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.8571428571428571
synth_2028_0006,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2028_0007,20.0,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.8571428571428571
synth_2028_0008,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
synth_2028_0009,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0010,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0011,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2028_0012,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0013,20.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2028_0014,20.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0015,20.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0016,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2028_0017,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0018,20.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0019,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
